[Tue Jul 09 10:20:33.187659 2019] [php7:crit] [pid 7072:tid 1976] [client 127.0.0.1:50138] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in C:\\xampp\\htdocs\\webpizza\\app\\app.php on line 14
[Thu Jul 11 17:07:28.601941 2019] [php7:crit] [pid 12720:tid 1932] [client 127.0.0.1:52956] PHP Parse error:  syntax error, unexpected 'require_once' (T_REQUIRE_ONCE) in C:\\xampp\\htdocs\\webpizza\\app\\app.php on line 27
[Thu Jul 11 17:07:28.612909 2019] [php7:crit] [pid 12720:tid 1932] [client 127.0.0.1:52956] PHP Parse error:  syntax error, unexpected 'require_once' (T_REQUIRE_ONCE) in C:\\xampp\\htdocs\\webpizza\\app\\app.php on line 27
[Thu Jul 11 17:07:28.773481 2019] [php7:crit] [pid 12720:tid 1932] [client 127.0.0.1:52956] PHP Parse error:  syntax error, unexpected 'require_once' (T_REQUIRE_ONCE) in C:\\xampp\\htdocs\\webpizza\\app\\app.php on line 27
[Fri Jul 12 11:24:22.357083 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(dump.php): failed to open stream: No such file or directory in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.358563 2019] [php7:warn] [pid 14352:tid 1924] [client 127.0.0.1:51114] PHP Warning:  include_once(dump.php): failed to open stream: No such file or directory in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.360686 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(): Failed opening 'dump.php' for inclusion (include_path='C:\\xampp\\php\\PEAR') in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.360686 2019] [php7:warn] [pid 14352:tid 1924] [client 127.0.0.1:51114] PHP Warning:  include_once(): Failed opening 'dump.php' for inclusion (include_path='C:\\xampp\\php\\PEAR') in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.361558 2019] [php7:warn] [pid 14352:tid 1924] [client 127.0.0.1:51114] PHP Warning:  include_once(flashbag.php): failed to open stream: No such file or directory in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.361558 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(flashbag.php): failed to open stream: No such file or directory in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.361558 2019] [php7:warn] [pid 14352:tid 1924] [client 127.0.0.1:51114] PHP Warning:  include_once(): Failed opening 'flashbag.php' for inclusion (include_path='C:\\xampp\\php\\PEAR') in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.361558 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(): Failed opening 'flashbag.php' for inclusion (include_path='C:\\xampp\\php\\PEAR') in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.361558 2019] [php7:warn] [pid 14352:tid 1924] [client 127.0.0.1:51114] PHP Warning:  include_once(getEnumData.php): failed to open stream: No such file or directory in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.362555 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(getEnumData.php): failed to open stream: No such file or directory in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.362555 2019] [php7:warn] [pid 14352:tid 1924] [client 127.0.0.1:51114] PHP Warning:  include_once(): Failed opening 'getEnumData.php' for inclusion (include_path='C:\\xampp\\php\\PEAR') in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.362555 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(): Failed opening 'getEnumData.php' for inclusion (include_path='C:\\xampp\\php\\PEAR') in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.362555 2019] [php7:warn] [pid 14352:tid 1924] [client 127.0.0.1:51114] PHP Warning:  include_once(getUserLanguages.php): failed to open stream: No such file or directory in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.362555 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(getUserLanguages.php): failed to open stream: No such file or directory in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.362555 2019] [php7:warn] [pid 14352:tid 1924] [client 127.0.0.1:51114] PHP Warning:  include_once(): Failed opening 'getUserLanguages.php' for inclusion (include_path='C:\\xampp\\php\\PEAR') in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.362555 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(): Failed opening 'getUserLanguages.php' for inclusion (include_path='C:\\xampp\\php\\PEAR') in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.362555 2019] [php7:warn] [pid 14352:tid 1924] [client 127.0.0.1:51114] PHP Warning:  include_once(randstr.php): failed to open stream: No such file or directory in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.362555 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(randstr.php): failed to open stream: No such file or directory in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.363552 2019] [php7:warn] [pid 14352:tid 1924] [client 127.0.0.1:51114] PHP Warning:  include_once(): Failed opening 'randstr.php' for inclusion (include_path='C:\\xampp\\php\\PEAR') in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.363552 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(): Failed opening 'randstr.php' for inclusion (include_path='C:\\xampp\\php\\PEAR') in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.363552 2019] [php7:warn] [pid 14352:tid 1924] [client 127.0.0.1:51114] PHP Warning:  include_once(redirect.php): failed to open stream: No such file or directory in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.363552 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(redirect.php): failed to open stream: No such file or directory in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.363552 2019] [php7:warn] [pid 14352:tid 1924] [client 127.0.0.1:51114] PHP Warning:  include_once(): Failed opening 'redirect.php' for inclusion (include_path='C:\\xampp\\php\\PEAR') in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.363552 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(): Failed opening 'redirect.php' for inclusion (include_path='C:\\xampp\\php\\PEAR') in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.363552 2019] [php7:warn] [pid 14352:tid 1924] [client 127.0.0.1:51114] PHP Warning:  include_once(url.php): failed to open stream: No such file or directory in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.363552 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(url.php): failed to open stream: No such file or directory in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.363552 2019] [php7:warn] [pid 14352:tid 1924] [client 127.0.0.1:51114] PHP Warning:  include_once(): Failed opening 'url.php' for inclusion (include_path='C:\\xampp\\php\\PEAR') in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.364549 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(): Failed opening 'url.php' for inclusion (include_path='C:\\xampp\\php\\PEAR') in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.465280 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(dump.php): failed to open stream: No such file or directory in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.465280 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(): Failed opening 'dump.php' for inclusion (include_path='C:\\xampp\\php\\PEAR') in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.466278 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(flashbag.php): failed to open stream: No such file or directory in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.466278 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(): Failed opening 'flashbag.php' for inclusion (include_path='C:\\xampp\\php\\PEAR') in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.466278 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(getEnumData.php): failed to open stream: No such file or directory in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.466278 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(): Failed opening 'getEnumData.php' for inclusion (include_path='C:\\xampp\\php\\PEAR') in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.467275 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(getUserLanguages.php): failed to open stream: No such file or directory in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.467275 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(): Failed opening 'getUserLanguages.php' for inclusion (include_path='C:\\xampp\\php\\PEAR') in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.467275 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(randstr.php): failed to open stream: No such file or directory in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.467275 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(): Failed opening 'randstr.php' for inclusion (include_path='C:\\xampp\\php\\PEAR') in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.468273 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(redirect.php): failed to open stream: No such file or directory in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.468273 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(): Failed opening 'redirect.php' for inclusion (include_path='C:\\xampp\\php\\PEAR') in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.471281 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(url.php): failed to open stream: No such file or directory in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:24:22.471281 2019] [php7:warn] [pid 14352:tid 1932] [client 127.0.0.1:51113] PHP Warning:  include_once(): Failed opening 'url.php' for inclusion (include_path='C:\\xampp\\php\\PEAR') in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 32
[Fri Jul 12 11:35:38.937598 2019] [php7:crit] [pid 14352:tid 1932] [client 127.0.0.1:51164] PHP Parse error:  syntax error, unexpected ';', expecting ')' in C:\\xampp\\htdocs\\webpizza\\app\\utils.php on line 40
[Fri Jul 12 14:28:36.545700 2019] [php7:crit] [pid 14352:tid 1924] [client 127.0.0.1:52033] PHP Parse error:  syntax error, unexpected '"www.webpizza.local"' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in C:\\xampp\\htdocs\\webpizza\\config\\config.php on line 30
[Fri Jul 12 14:28:36.640544 2019] [php7:crit] [pid 14352:tid 1924] [client 127.0.0.1:52033] PHP Parse error:  syntax error, unexpected '"www.webpizza.local"' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in C:\\xampp\\htdocs\\webpizza\\config\\config.php on line 30
